Designation (and name),Prov.Des.,q,Q,H,Epoch,M,Peri.,Node,Incl.,e,a,Opps.,Ref.,Discovery date,site,discoverer(s)
,1994 EV3,41.48,44.696,7.1,20160113,190.9,14.6,19.5,1.7,0.037,43.088,6,MPO 339365,3/13/1994,568,"D. C. Jewitt, J. X. Luu"
,1994 ES2,40.722,51.558,7.6,20160113,304.7,97.2,154.7,1.1,0.117,46.14,6,MPO 331225,3/13/1994,568,"J. X. Luu, D. C. Jewitt"
,1993 RP,34.863,43.795,9,19930910,360,180.6,192.1,2.6,0.114,39.329,( 2d),MPC 23493,9/15/1993,568,"D. C. Jewitt, J. X. Luu"
-450265,2003 WU172,29.161,49.515,6.6,20160113,351.6,100.8,10.5,4.1,0.259,39.338,10,MPO 353842,11/21/2003,691,Spacewatch
-444745,2007 JF43,32.286,46.618,5.5,20160113,293.2,121.9,207.4,15.1,0.182,39.452,8,MPO 346628,5/10/2007,675,Palomar
-444030,2004 NT33,36.834,49.717,4.7,20160113,40.3,36.8,241,31.2,0.149,43.276,12,MPO 346448,7/13/2004,644,Palomar
-444025,2004 HJ79,42.268,46.1,6.9,20160113,262.7,276.8,45.3,3.3,0.043,44.184,5,MPO 346447,4/26/2004,* 56,8 B. Gladman
-444018,2004 EU95,42.196,46.617,7,20160113,27.5,122.8,65.6,2.8,0.05,44.406,4,MPO 346445,3/15/2004,695,M. W. Buie
-443843,2001 FO185,40.965,52.512,7.3,20160113,30.9,335.3,205.7,10.6,0.124,46.739,6,MPO 346392,3/26/2001,695,M. W. Buie
-439858,1999 ON4,40.874,44.08,7.6,20160113,19.2,184.5,133.1,3.2,0.038,42.477,8,MPO 342368,7/19/1999,568,Mauna Kea
-438028,2004 EH96,28.414,51.066,8.4,20160113,24.1,301.4,226.2,3.1,0.285,39.74,7,MPO 339639,3/15/2004,695,M. W. Buie
-437915,2002 GD32,38.753,50.589,5.8,20160113,172.7,25.8,22.1,6.6,0.132,44.671,5,MPO 339609,4/7/2002,807,M. W. Buie
-437871,2001 FN185,39.423,46.042,7.2,20160113,5.6,10.6,203.3,21.7,0.077,42.733,5,MPO 339596,3/26/2001,695,M. W. Buie
-434709,2006 CJ69,32.577,52.488,7.6,20160113,338.2,58.7,130.4,17.9,0.234,42.532,5,MPO 335609,2/3/2006,568,"P. A. Wiegert, A. Papadimo"
-434194,2003 FK127,40.534,45.2,7.3,20160113,349.3,113.3,84.4,2.3,0.054,42.867,5,MPO 342179,3/30/2003,695,M. W. Buie
-432949,2012 HH2,29.183,41.04,6.4,20160113,30,101.1,56.5,28.6,0.169,35.111,5,MPO 339355,4/19/2012,H21,T. Vorobjov
-427614,2003 SR422,37.759,42.297,7.1,20160113,244.8,67.6,99.9,23.9,0.057,40.028,4,MPO 327373,9/28/2003,807,Cerro Tololo
-427581,2003 QB92,31.398,38.123,7.9,20160113,157.6,62.6,120.1,3.5,0.097,34.761,4,MPO 327364,8/24/2003,807,M. W. Buie
-420356,2012 BX85,42.844,43.029,5.6,20160113,168.7,10.5,314.2,1.1,0.002,42.937,4,MPO 353494,1/23/2012,290,"K. Cernis, R. P. Boyle"
-416400,2003 UZ117,38.318,50.132,5.2,20160113,338.2,247.3,204.7,27.5,0.134,44.225,11,MPO 339287,10/24/2003,691,Spacewatch
-415720,1999 RU215,40.045,45.792,7.3,20160113,47.7,329,14.3,7.8,0.067,42.918,6,MPO 315369,9/7/1999,568,"C. A. Trujillo, J. X. Luu,"
-408832,2001 QJ298,42.088,45.728,6.2,20160113,244.8,300.7,162.7,2.2,0.041,43.908,8,MPO 315134,8/21/2001,807,M. W. Buie
-386723,2009 YE7,37.894,50.695,4.2,20160113,180.8,99.1,141.7,29.1,0.144,44.294,5,MPO 282378,12/17/2009,809,D. L. Rabinowitz
-385533,2004 QD29,37.98,47.818,7,20160113,70.4,113,135.3,23.9,0.115,42.899,6,MPO 282081,8/19/2004,568,B. Gladman
-385527,2004 OK14,33.131,54.081,7.6,20160113,337.1,207.5,149,3.5,0.24,43.606,4,MPO 282079,7/17/2004,807,M. W. Buie
-385458,2003 SP317,38.026,53.528,6.6,20160113,300.3,98.2,347.1,5.1,0.169,45.777,5,MPO 282062,9/25/2003,568,Mauna Kea
-385447,2003 QF113,42.543,44.75,6.6,20160113,19.2,198.6,114.2,4.5,0.025,43.646,6,MPO 282059,8/25/2003,807,M. W. Buie
(385446) Manwe,2003 QW111,38.583,48.485,6.5,20160113,274.1,22.2,68.4,2.7,0.114,43.534,7,MPO 282059,8/25/2003,807,M. W. Buie
-385445,2003 QH91,33.29,45.324,6.8,20160113,123.4,265.7,286.8,3.7,0.153,39.307,5,MPO 282058,8/24/2003,807,M. W. Buie
-385437,2003 GH55,40.646,48.096,5.8,20160113,22.8,86.6,116.4,1.1,0.084,44.371,7,MPO 282056,4/1/2003,807,Deep Lens Survey
-385363,2002 PW170,41.278,48.095,6.2,20160113,156.6,202.4,339.8,3.9,0.076,44.687,5,MPO 353314,8/5/2002,568,Mauna Kea
-385362,2002 PT170,39.343,52.777,6.4,20160113,249.9,135.7,328.8,3.7,0.146,46.06,4,MPO 282036,8/5/2002,568,Mauna Kea
-385266,2001 QB298,38.449,46.415,6.8,20160113,46.4,359.8,291.7,1.8,0.094,42.432,6,MPO 282006,8/20/2001,807,M. W. Buie
-385201,1999 RN215,39.805,46.269,6.7,20160113,141.7,100.2,140.8,12.4,0.075,43.037,6,MPO 339237,9/7/1999,568,"D. C. Jewitt, J. X. Luu, C"
-385199,1999 OE4,43.249,47.064,7,20160113,352.8,214.2,130.9,2.2,0.042,45.156,7,MPO 346036,7/20/1999,568,Mauna Kea
-385194,1998 KG62,41.011,45.473,6.5,20160113,230.6,121.2,336.7,0.8,0.052,43.242,5,MPO 356905,5/29/1998,807,G. Bernstein
-385191,1997 RT5,39.949,42.367,7.2,20160113,186.4,17.7,163.8,12.8,0.029,41.158,5,MPO 356905,9/7/1997,675,"P. Nicholson, B. Gladman,"
-385185,1993 RO,31.485,46.682,8.4,20160113,27.1,188.4,170.4,3.7,0.194,39.083,7,MPO 281983,9/14/1993,568,"D. C. Jewitt, J. X. Luu"
-364171,2006 JZ81,41.096,48.766,6.7,20160113,8.8,181,36.4,3.5,0.085,44.931,8,MPO 342088,5/1/2006,568,Mauna Kea
-363401,2003 LB7,39.569,51.917,6.7,20160113,34.8,156.1,49.6,2.3,0.135,45.743,5,MPO 260997,6/1/2003,807,M. W. Buie
-363330,2002 PQ145,41.465,45.849,5.7,20160113,204.5,316.2,165.7,3.1,0.05,43.657,6,MPO 260977,8/9/2002,807,M. W. Buie
(341520) Mors-Somnus,2007 TY430,28.84,49.406,6.8,20160113,357.9,205.7,196.7,11.3,0.263,39.123,5,MPO 238694,10/14/2007,568,"S. S. Sheppard, C. Trujill"
-315530,2008 AP129,36.082,47.915,5.2,20160113,44.6,59.7,15,27.4,0.141,41.998,9,MPO 334716,1/11/2008,675,"M. E. Schwamb, M. E. Brown"
-312645,2010 EP65,33.057,62.988,5.5,20160113,0.9,352,205,18.9,0.312,48.023,8,MPO 232446,3/9/2010,809,"D. Rabinowitz, S. Tourtell"
-308634,2005 XU100,39.136,48.209,6.4,20160113,72.3,105,318.4,7.8,0.104,43.673,5,MPO 338970,12/1/2005,695,M. W. Buie
-308460,2005 SC278,32.46,36.964,7.3,20160113,305.4,52.9,27.5,1.5,0.065,34.712,5,MPO 338970,9/22/2005,705,"A. C. Becker, A. W. Pucket"
-308379,2005 RS43,38.272,56.929,5.3,20160113,52.2,266.3,46.4,10,0.196,47.601,13,MPO 356702,9/13/2005,705,"A. C. Becker, A. W. Pucket"
-308193,2005 CB79,37.238,50.04,4.6,20160113,319.6,90.1,112.8,28.6,0.147,43.639,8,MPO 338969,2/6/2005,644,Palomar
-307616,2003 QW90,40.237,46.974,5.4,20160113,275,90,17.8,10.4,0.077,43.605,6,MPO 212286,8/23/2003,807,M. W. Buie
-307463,2002 VU130,30.916,47.5,6,20160113,272.6,280.3,267.9,1.4,0.211,39.208,8,MPO 360540,11/7/2002,695,M. W. Buie
-307261,2002 MS4,35.693,47.74,3.7,20160113,216.2,215.5,216,17.7,0.144,41.717,12,MPO 212172,6/18/2002,644,"C. A. Trujillo, M. E. Brow"
-307251,2002 KW14,37.24,56.47,5,20160113,48,123.2,59.8,9.8,0.205,46.855,6,MPO 212169,5/17/2002,675,"C. A. Trujillo, M. E. Brow"
-306792,2001 KQ77,33.386,45.698,7.2,20160113,326.3,63.9,248.5,15.6,0.156,39.542,5,MPO 212009,5/23/2001,807,M. W. Buie
-303712,2005 PR21,39.489,48.45,6.1,20160113,52.4,308.7,339.2,1.3,0.102,43.97,6,MPO 338960,8/9/2005,807,Cerro Tololo
-278361,2007 JJ43,40.395,55.859,3.9,20160113,338.1,6.7,272.5,12.1,0.161,48.127,6,MPO 241649,5/14/2007,675,Palomar
