Designation (and name),Prov.Des.,q,Q,H,Epoch,M,Peri.,Node,Incl.,e,a,Opps.,Ref.,Discovery date,site,discoverer(s)
,2013 AS105,5.759,26.412,12.1,20160113,27.5,326.3,106.7,14.6,0.642,16.086,6,MPO 331334,1/15/2013,J04,
,2013 AZ60,7.91,1454,10.2,20160113,0,158.2,349.2,16.5,0.989,731,3,MPO 339483,1/10/2013,G96,Mt. Lemmon Survey
,2012 VS113,38.041,71.788,7.1,20160113,4.4,220.3,171.7,26.8,0.307,54.914,3,MPO 307055,11/12/2012,W84,Dark Energy Survey
,2012 VP113,80.29,444,4,20160113,3.3,292.9,90.8,24,0.694,262,3,MPO 289737,11/5/2012,807,
,2012 VU85,20.137,38.464,7.2,20160113,312.4,265,252.6,15.1,0.313,29.3,3,MPO 322278,11/14/2012,290,"K. Cernis, R. P. Boyle"
,2012 UW177,22.277,37.905,11.3,20160113,358.9,34.6,20.1,53.9,0.26,30.091,2,MPO 317747,10/20/2012,568,M. Alexandersen
,2012 US177,35.542,76.129,8.7,20160113,15.8,92.5,271.8,17.2,0.363,55.836,2,MPO 317746,10/21/2012,568,M. Alexandersen
,2012 UR177,37.443,110,7.9,20160113,343,158.5,291.6,16.3,0.491,73.581,2,MPO 317746,10/21/2012,568,M. Alexandersen
,2012 UQ177,35.67,68.03,8,20160113,332.4,120.5,330.3,19.6,0.312,51.85,3,MPO 357189,10/20/2012,568,M. Alexandersen
,2012 UK177,35.318,148,8.7,20160113,356.7,162.7,251.5,24.9,0.615,91.825,2,MPO 317745,10/20/2012,568,M. Alexandersen
,2012 UJ177,31.276,78.593,9.1,20160113,21.5,46.8,298.9,15.6,0.431,54.935,2,MPO 317745,10/21/2012,568,M. Alexandersen
,2012 UY174,7.369,16.426,13.3,20121020,359.9,71.4,329.9,9.6,0.381,11.898,( 2d),MPO 246003,10/23/2012,F51,Pan-STARRS 1
,2012 PD26,10.09,30.558,11.2,20160113,25.9,85,209.2,7.7,0.504,20.324,3,MPO 317743,8/13/2012,F51,Pan-STARRS 1
,2012 KU50,26.181,79.25,6.3,20120513,18.2,88.5,68.3,18.1,0.503,52.715,( 28d),MPO 234437,5/18/2012,809,M. E. Schwamb
,2012 GX17,16.97,58.536,7.8,20160113,41.5,244.1,209.2,32.5,0.551,37.753,3,MPO 335263,4/14/2012,F51,Pan-STARRS 1
,2012 GM12,15.433,18.942,9.3,20120403,171.4,114.5,262.9,12.6,0.102,17.188,( 4d),MPO 230296,4/13/2012,F51,Pan-STARRS 1
,2012 GU11,19.805,33.992,8.7,20120403,32.7,336.8,151.4,12.8,0.264,26.899,( 4d),MPO 230296,4/12/2012,F51,Pan-STARRS 1
,2012 GV1,8.25,29.051,11.9,20160113,26.2,341.3,168.5,18.9,0.558,18.651,3,MPO 229000,4/12/2012,F51,Pan-STARRS 1
,2012 FZ78,10.54,27.186,10.9,20120423,10.2,156.8,10.2,17,0.441,18.863,( 49d),MPO 234429,3/29/2012,G96,Mt. Lemmon Survey
,2012 DD86,15.365,31.415,9.4,20160113,5.8,357,174.6,12.5,0.343,23.39,5,MPO 335263,2/22/2012,809,
,2012 DS85,16.455,21.528,9.4,20160113,60.6,304.7,129,16.8,0.134,18.992,2,MPO 246980,2/19/2012,290,"K. Cernis, R. P. Boyle"
,2012 DR30,14.551,2794,7.1,20160113,0,195.4,341.4,78,0.99,1404,8,MPO 339460,2/22/2012,E12,Siding Spring Survey
,2012 CE17,18.979,24.245,8.7,20160113,354.4,356.4,174.5,5.9,0.122,21.612,3,MPO 331323,2/3/2012,F51,Pan-STARRS 1
,2012 CG,14.519,43.55,9,20160113,33.4,293.9,128.8,14.6,0.5,29.034,8,MPO 327109,2/1/2012,G96,Mt. Lemmon Survey
,2011 WR74,5.203,13.195,15.3,20111205,7.9,263.3,135.1,10.8,0.434,9.199,( 29d),MPO 218133,11/25/2011,F51,Pan-STARRS 1
,2011 UW412,37.413,118,9,20160113,8.5,134.1,233.2,13,0.518,77.69,2,MPO 317700,10/26/2011,568,
,2011 UQ412,34.795,99.428,7.7,20160113,354.9,197.8,219.9,16.7,0.482,67.112,2,MPO 317700,10/24/2011,568,M. Alexandersen
,2011 UP412,36.934,75.406,8.2,20160113,354.9,26.7,23.1,19.8,0.342,56.17,2,MPO 317699,10/24/2011,568,M. Alexandersen
,2011 UT411,32.905,78.303,7.5,20160113,307.8,130.5,5,6.4,0.408,55.604,2,MPO 317696,10/26/2011,568,M. Alexandersen
,2011 US411,31.228,93.228,9.2,20160113,3.2,9.4,24.8,22.1,0.498,62.228,3,MPO 357179,10/26/2011,568,M. Alexandersen
,2011 UR411,35.009,88.444,8.6,20160113,350.1,45.3,23.4,26.6,0.433,61.727,3,MPO 357179,10/26/2011,568,M. Alexandersen
